X,Y,OBJECTID,LocationID,Name,Historic_Name,Status,City,County,State,Description,Latitude,Longitude,Lat_WGS84,Long_WGS84,Block_Group
-112.4685,34.5400,30,AZ030,Prescott Courthouse Plaza,,Active,Prescott,Yavapai,AZ,Historic territorial civic center,34.5400,-112.4685,34.5400,-112.4685,
-112.6046,34.7570,31,AZ031,Mingus Mountain Mining Region,,Active,Mingus Mountain,Yavapai,AZ,Historic mining region,34.7570,-112.6046,34.7570,-112.6046,
-112.0970,33.4484,32,AZ032,Arizona State Capitol,,Active,Phoenix,Maricopa,AZ,Historic government building,33.4484,-112.0970,33.4484,-112.0970,
-112.0738,33.4484,33,AZ033,Heritage Square,,Active,Phoenix,Maricopa,AZ,Victorian-era preserved homes,33.4484,-112.0738,33.4484,-112.0738,
-111.9510,33.4942,34,AZ034,Papago Park Cultural Sites,,Active,Phoenix,Maricopa,AZ,Historic archaeological desert park,33.4942,-111.9510,33.4942,-111.9510,
-111.0000,32.1066,35,AZ035,San Xavier del Bac Mission,,Active,Tucson,Pima,AZ,Historic Spanish mission,32.1066,-111.0000,32.1066,-111.0000,
-110.9747,32.2226,36,AZ036,Presidio San Agustin del Tucson,,Active,Tucson,Pima,AZ,Spanish colonial fort reconstruction,32.2226,-110.9747,32.2226,-110.9747,
-110.9265,32.2217,37,AZ037,Tucson Barrio Historico,,Active,Tucson,Pima,AZ,Historic adobe neighborhood,32.2217,-110.9265,32.2217,-110.9265,
-110.0678,31.7129,38,AZ038,Tombstone Historic District,,Active,Tombstone,Cochise,AZ,Old West historic town,31.7129,-110.0678,31.7129,-110.0678,
-109.9284,31.4482,39,AZ039,Bisbee Historic District,,Active,Bisbee,Cochise,AZ,Historic mining town,31.4482,-109.9284,31.4482,-109.9284,
-110.3473,31.5455,40,AZ040,Fort Huachuca,,Active,Sierra Vista,Cochise,AZ,Historic U.S. Army installation,31.5455,-110.3473,31.5455,-110.3473,
-114.6150,32.6927,41,AZ041,Yuma Territorial Prison,,Active,Yuma,Yuma,AZ,Historic territorial prison,32.6927,-114.6150,32.6927,-114.6150,
-114.6277,32.6927,42,AZ042,Yuma Crossing Historic District,,Active,Yuma,Yuma,AZ,Historic Colorado River crossing settlement,32.6927,-114.6277,32.6927,-114.6277,
