X,Y,OBJECTID,LocationID,Name,Historic_Name,Status,City,County,State,Description,Latitude,Longitude,Lat_WGS84,Long_WGS84,Block_Group,Image_URL,Image_Title,Source
-111.3542,35.2317,13,AZ013,Winona Route 66,,Active,Winona,Coconino,AZ,Small historic railroad stop and service community that supported Route 66 travelers between Flagstaff and Winslow.,35.2317,-111.3542,35.2317,-111.3542,,https://cdm16748.contentdm.oclc.org/digital/api/singleitem/image/cpa/19984/default.jpg,Winona Route 66,NAU Colorado Plateau Archives
-111.6513,35.1983,14,AZ014,Flagstaff Route 66,,Active,Flagstaff,Coconino,AZ,"Well-preserved urban alignment of Route 66 through downtown Flagstaff, featuring historic storefronts, motels, and railroad influence.",35.1983,-111.6513,35.1983,-111.6513,,PENDING,Flagstaff Route 66,NAU Colorado Plateau Archives
-111.62,35.2402,15,AZ015,Museum Club Route 66,,Active,Flagstaff,Coconino,AZ,"Historic 1930s log building that served as a dance hall and nightclub, reflecting Route 66’s role in regional entertainment culture.",35.2402,-111.62,35.2402,-111.62,,https://cdm16748.contentdm.oclc.org/digital/api/singleitem/image/cpa/12513/default.jpg,Museum Club,NAU Colorado Plateau Archives
-111.821,35.2403,16,AZ016,Bellemont Route 66,,Active,Bellemont,Coconino,AZ,"Historic railroad and Route 66 settlement that provided fuel, lodging, and services to travelers crossing northern Arizona.",35.2403,-111.821,35.2403,-111.821,,https://cdm16748.contentdm.oclc.org/digital/api/singleitem/image/cpa/19989/default.jpg,Bellemont Route 66,NAU Colorado Plateau Archives
-112.4843,35.224,17,AZ017,Ash Fork Route 66,,Active,Ash Fork,Yavapai,AZ,"Stone quarry town known as the “Flagstone Capital of the World,” supplying materials used in Route 66-era construction.",35.224,-112.4843,35.224,-112.4843,,PENDING,Ash Fork Route 66,NAU Colorado Plateau Archives
-112.191,35.2494,18,AZ018,Williams Route 66,,Active,Williams,Coconino,AZ,"Historic Route 66 town and gateway to the Grand Canyon, famously the last to be bypassed by Interstate 40 in 1984.",35.2494,-112.191,35.2494,-112.191,,PENDING,Williams Route 66,NAU Colorado Plateau Archives
-112.8774,35.3275,20,AZ020,Seligman Route 66,,Active,Seligman,Yavapai,AZ,"Birthplace of the modern Route 66 preservation movement, where local efforts helped revive interest in the historic highway.",35.3275,-112.8774,35.3275,-112.8774,,PENDING,Seligman Route 66,NAU Colorado Plateau Archives
-113.425,35.529,21,AZ021,Peach Springs Route 66,,Active,Hualapai Reservation,Mohave,AZ,Community on the Hualapai Reservation that preserves Route 66 heritage and serves as a gateway to the Grand Canyon’s western rim.,35.529,-113.425,35.529,-113.425,,https://cdm16748.contentdm.oclc.org/digital/api/singleitem/image/cpa/20519/default.jpg,Peach Springs Route 66,NAU Colorado Plateau Archives
-113.7266,35.3697,22,AZ022,Hackberry Route 66,,Active,Hackberry,Mohave,AZ,"Historic general store and museum showcasing Route 66 artifacts, classic cars, and roadside Americana culture.",35.3697,-113.7266,35.3697,-113.7266,,https://cdm16748.contentdm.oclc.org/digital/api/singleitem/image/cpa/18679/default.jpg,Hackberry Route 66,NAU Colorado Plateau Archives
-114.053,35.1894,24,AZ024,Kingman Route 66,,Active,Kingman,Mohave,AZ,"Major transportation hub along Route 66, with strong ties to railroads, mining, and regional highway travel history.",35.1894,-114.053,35.1894,-114.053,,PENDING,Kingman Route 66,NAU Colorado Plateau Archives
-113.852,35.1186,27,AZ027,Cool Springs,,Active,Kingman,Mohave,AZ,Restored gas station along Route 66 that once served motorists crossing the rugged Black Mountains.,35.1186,-113.852,35.1186,-113.852,,https://cdm16748.contentdm.oclc.org/digital/api/singleitem/image/cpa/19835/default.jpg,Cool Springs,NAU Colorado Plateau Archives
-113.867,35.103,28,AZ028,Sitgreaves Pass,,Active,Black Mountains,Mohave,AZ,"Winding mountain pass on the original Route 66 alignment, known for steep grades and dramatic desert landscapes.",35.103,-113.867,35.103,-113.867,,https://cdm16748.contentdm.oclc.org/digital/api/singleitem/image/cpa/19228/default.jpg,Sitgreaves Pass,NAU Colorado Plateau Archives
-114.383,35.0264,30,AZ030,Oatman Route 66,,Active,Oatman,Mohave,AZ,"Historic mining town turned Route 66 tourist destination, famous for wild burros roaming its streets.",35.0264,-114.383,35.0264,-114.383,,https://cdm16748.contentdm.oclc.org/digital/api/singleitem/image/cpa/20184/default.jpg,Oatman Route 66,NAU Colorado Plateau Archives
-114.4869,34.7233,31,AZ031,Topock Route 66 Bridge,,Active,Topock,Mohave,AZ,Historic bridge marking the western Arizona crossing of Route 66 over the Colorado River into California.,34.7233,-114.4869,34.7233,-114.4869,,https://cdm16748.contentdm.oclc.org/digital/api/singleitem/image/cpa/22775/default.jpg,Topock Route 66 Bridge,NAU Colorado Plateau Archives
-111.6517,35.1873,40,AZ040,Testing poi,,Active,Flagstaff,Coconino,AZ,Testing POI near current location for geofencing verification.,35.1873,-111.6517,35.1873,-111.6517,,PENDING,Cline Library,NAU Colorado Plateau Archives
